title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
Small Town Murder Songs,2011.0,31133,58.521,2810,401.429,7,7,6/3/2011,8/18/2011,76.0,
White Irish Drinkers,2011.0,31056,129.4,16836,3367.2,5,5,3/25/2011,5/12/2011,48.0,
The Son of No One,2011.0,30680,236.0,18015,1801.5,10,10,11/4/2011,11/17/2011,13.0,
Muran,2011.0,30116,231.662,16490,1649.0,10,10,9/30/2011,10/13/2011,13.0,
Cat Run,2011.0,30000,48.544,30000,291.262,103,103,4/1/2011,4/7/2011,6.0,
Evidence of a Haunting,2011.0,29904,498.4,16800,1680.0,10,10,8/26/2011,9/1/2011,6.0,
Cracks,2011.0,29683,247.358,9467,1577.833,6,6,3/18/2011,4/7/2011,20.0,
Redemption Road,2011.0,29384,86.935,19152,736.615,26,26,8/26/2011,9/8/2011,13.0,2300000.0
The Topp Twins: Untouchable Girls,2011.0,29316,58.632,2506,2506.0,5,1,5/13/2011,8/21/2011,100.0,
The Sleeping Beauty,2011.0,29066,87.285,5973,5973.0,3,1,7/8/2011,10/27/2011,111.0,
Garbo: The Spy,2011.0,28563,187.914,5593,5593.0,2,1,11/18/2011,2/2/2012,76.0,
Salvation Boulevard,2011.0,28468,173.585,7208,1802.0,4,4,7/15/2011,8/25/2011,41.0,5500000.0
"Tuesday, After Christmas",2011.0,27813,103.78,6472,6472.0,2,1,5/25/2011,10/6/2011,134.0,
Jane's Journey,2011.0,27253,62.221,6193,6193.0,3,1,9/16/2011,2/9/2012,146.0,
Clash (Bay Rong),2011.0,27052,150.289,12249,1361.0,9,9,3/11/2011,3/31/2011,20.0,
The Last Ride,2011.0,27000,296.703,16270,2324.286,7,7,10/21/2011,11/3/2011,13.0,
Caesar & Otto's Summer Camp Massacre,2011.0,25844,258.44,11375,2275.0,5,5,9/16/2011,10/6/2011,20.0,
Waiting for Forever,2011.0,25517,140.203,8917,2972.333,14,3,2/4/2011,2/17/2011,13.0,5000000.0
The Other Woman,2011.0,25423,104.621,6224,3112.0,9,2,2/4/2011,3/3/2011,27.0,
The Worst Movie EVER!,2011.0,25206,7.606,11,11.0,2,1,8/19/2011,03/02/2016,1657.0,
Bonnie & Clyde Vs. Dracula,2011.0,25027,66.739,5688,1896.0,3,3,3/11/2011,7/14/2011,125.0,
Harvest,2011.0,24657,181.301,5870,5870.0,4,1,5/6/2011,6/9/2011,34.0,
Immigration Tango,2011.0,24554,62.959,14432,481.067,30,30,2/18/2011,3/3/2011,13.0,
After,2011.0,24544,1888.0,6333,6333.0,1,1,9/9/2011,9/22/2011,13.0,
Trespass (2011),2011.0,24094,401.567,16816,1681.6,10,10,10/14/2011,10/20/2011,6.0,
Ranchero,2011.0,24036,41.017,3826,1913.0,2,2,7/8/2011,4/26/2012,293.0,
Vanishing on 7th Street,2011.0,22729,140.302,2898,2898.0,6,1,2/18/2011,3/17/2011,27.0,
Black Death,2011.0,22554,132.671,6692,3346.0,5,2,3/11/2011,4/14/2011,34.0,
Incendiary,2011.0,22457,277.247,7308,7308.0,3,1,9/23/2011,10/20/2011,27.0,
Tyrannosaur,2011.0,22321,37.832,7635,1527.0,5,5,11/18/2011,3/15/2012,118.0,
Ceremony,2011.0,22270,135.793,6920,3460.0,4,2,4/8/2011,5/19/2011,41.0,
All's Faire in Love,2011.0,22180,49.289,16440,219.2,75,75,10/28/2011,11/3/2011,6.0,
Four Adventures of Reinette and Mirabelle (2011 re-release),2011.0,22039,13.064,5051,5051.0,1,1,7/20/2011,03/02/2016,1687.0,
Answers to Nothing,2011.0,22029,65.562,14262,679.143,21,21,12/2/2011,12/18/2011,16.0,
The Arbor,2011.0,21620,56.745,2638,2638.0,3,1,4/27/2011,9/1/2011,127.0,
Monogamy,2011.0,21527,2.368,4476,4476.0,5,1,3/11/2011,03/02/2016,1818.0,
Always Kabhi Kabhi,2011.0,21381,0.429,14570,502.414,29,29,6/17/2011,03/02/2016,1720.0,
Resurrect Dead: The Mystery of the Toynbee Tiles,2011.0,21242,386.218,3054,3054.0,1,1,9/2/2011,10/27/2011,55.0,
Cameraman: The Work and Life of Jack Cardiff,2011.0,20840,77.185,1998,1998.0,3,1,5/13/2011,8/11/2011,90.0,
Charlotte Rampling: The Look,2011.0,19988,6.325,5905,2952.5,2,2,11/4/2011,03/02/2016,1580.0,
Brotherhood (2011),2011.0,19722,493.05,7873,7873.0,2,1,2/18/2011,3/10/2011,20.0,
When We Leave (Die Fremde),2011.0,19631,363.537,6018,3009.0,2,2,1/28/2011,2/24/2011,27.0,
Skateland,2011.0,19411,65.357,5254,2627.0,11,2,5/13/2011,6/9/2011,27.0,
House of Pleasures,2011.0,19327,280.101,4766,4766.0,3,1,11/25/2011,12/18/2011,23.0,
OKA!,2011.0,18364,85.813,4461,4461.0,2,1,10/14/2011,1/29/2012,107.0,
Marvel's The Avengers,2012.0,623357910,936.821,207438708,47698.024,4349,4349,5/4/2012,10/4/2012,153.0,220000000.0
The Dark Knight Rises,2012.0,448139099,696.968,160887295,36532.083,4404,4404,7/20/2012,12/13/2012,146.0,250000000.0
The Hunger Games,2012.0,408010692,590.568,152535747,36871.102,4137,4137,3/23/2012,9/6/2012,167.0,78000000.0
Skyfall,2012.0,304360277,713.379,88364714,25211.045,3526,3505,11/9/2012,3/10/2013,121.0,200000000.0
The Hobbit: An Unexpected Journey,2012.0,303003568,559.874,84617303,20918.987,4100,4045,12/14/2012,4/25/2013,132.0,
The Twilight Saga: Breaking Dawn Part 2,2012.0,292324737,647.065,141067634,34660.352,4070,4070,11/16/2012,3/7/2013,111.0,120000000.0
The Amazing Spider-Man,2012.0,262030663,589.159,62004688,14359.585,4318,4318,7/3/2012,10/14/2012,103.0,230000000.0
Brave,2012.0,237283207,272.653,66323594,15927.856,4164,4164,6/22/2012,1/17/2013,209.0,185000000.0
Ted,2012.0,218815487,561.419,54415205,16800.002,3303,3239,6/29/2012,10/25/2012,118.0,50000000.0
